,SMILES,pIC50,MDEC-23,SHsOH,MDEO-12,SsOH,minHBint10,LipoaffinityIndex,ATSc3,BCUTp-1h,mindssC,VC-5,BCUTc-1h,maxHsOH,minsOH,maxssO,minHsOH,minsssN,BCUTc-1l,minHBa,minHBint5,hmin,ETA_BetaP_s,MLogP,maxsOH,SPC-6,VPC-6
0,Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCC3)c4ccc(OCCN5CCCCC5)cc4,8.60205999132796,28.2779319532237,0.469125571668507,0.269679944985296,9.96894807513101,0.0,11.8309492000147,-0.12645316105012,13.2548590202849,0.0,0.230310779878219,0.185436632359743,0.469125571668507,9.96894807513101,6.59300945471691,0.469125571668507,2.51614156635586,-0.360525428719967,-1.33130310118423,3.09294932945994,-0.436064912543642,0.62903,3.77,9.96894807513101,9.01972914255706,5.51059903483589
1,Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCCC3)c4ccc(OCCN5CCCCC5)cc4,8.1249387366083,31.0767480441416,0.449125571668507,0.269679944985296,10.058948075131,0.0,13.1499739066196,-0.126453237751225,13.6176089578304,0.0,0.230310779878219,0.18545929010714,0.449125571668507,10.058948075131,6.67464210777813,0.449125571668507,2.52124360717219,-0.360529915954453,-1.37862820406488,2.99775245233854,-0.476881239074254,0.62121,3.99,10.058948075131,9.25543140295257,5.7463012952314
2,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,8.50863830616573,30.9010635919051,0.997246760389314,0.495845798531179,19.7303941680003,4.68833869623125,10.577177295995,-0.143125821439677,13.3934528458774,0.0,0.174055175658636,0.116954448381542,0.516533808398307,9.75288615963683,6.50275080959219,0.480712951991006,2.4844480437058,-0.361379117081142,-1.60835378565555,3.12595653774097,-0.401857146103732,0.62879,3.76999999999999,9.97750800836356,9.76073675779716,4.5076769064384
3,Oc1ccc2O[C@H]([C@@H](CC3CCCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,8.4089353929735,30.5700011497603,0.456486108858589,0.269679944985296,10.025028463898,0.0,13.2127668888098,-0.126503941171241,13.0795473458107,0.0,0.123272692346871,0.185458819233417,0.456486108858589,10.025028463898,6.62214210777813,0.456486108858589,2.51977360411128,-0.360529924878524,-1.35087404684644,3.02291588308826,-0.452506239074254,0.62121,3.99,10.025028463898,8.7060540561411,5.15064107357314
4,Oc1ccc2O[C@H]([C@@H](Cc3ccccc3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,8.13076828026902,30.5700011497603,0.473631314067242,0.269679944985296,9.99334222014745,0.0,12.48969071493,-0.128689926967005,13.0434535766704,0.0,0.123272692346871,0.185458540696614,0.473631314067242,9.99334222014745,6.55281033340172,0.473631314067242,2.5042173664946,-0.360530120979038,-1.44968923959021,3.10361616904245,-0.414507018552712,0.62121,3.99,9.99334222014745,8.7060540561411,4.40161096860387
5,Oc1ccc2O[C@H]([C@H](Sc2c1)c3ccncc3)c4ccc(OCCN5CCCCC5)cc4,6.30980391997149,28.2779319532237,0.485712951991006,0.269679944985296,9.96417467503023,0.0,10.8927217662921,-0.128253194978888,13.3223589899047,0.0,0.174055175658636,0.185464099967959,0.485712951991006,9.96417467503023,6.51460242523845,0.485712951991006,2.49542310039514,-0.360531017878162,-1.53616935632826,3.16422677501034,-0.391653064471079,0.64063,3.66,9.96417467503023,9.25543140295257,4.38377071955794
6,Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccc(OCCN6CCCCC6)cc5C4,9.0,37.8037194278054,0.945717240342265,0.190692517849118,19.948516961937,2.75137643324576,12.6138141871152,-0.0954161248682095,13.8053673812359,1.24709893919063,0.264010045363804,0.111205842244146,0.500353725253939,9.82341649368402,6.1778218018153,0.445363515088326,2.50541908754394,-0.361388837203604,2.50541908754394,0.0,-0.265019681196629,0.625,4.31999999999999,10.125100468253,15.0612398940395,6.1046380806307
7,Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,7.45593195564972,26.1030647521474,0.499931701991006,0.412383244835552,9.91073717503023,0.0,10.0239128645582,-0.168884895756684,12.8063597398236,0.0,0.154126316347127,0.185467201909419,0.499931701991006,9.91073717503023,6.4443983436058,0.499931701991006,2.4901084745448,-0.36053871481542,-1.56459013822126,3.22175903222687,-0.356551023654753,0.64516,3.55,9.91073717503023,9.01972914255706,4.09524542340526
8,Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,8.36653154442041,33.3082377091945,1.01235221923939,0.0,19.5878427852877,4.64381424522757,9.24320400238036,-0.0263640578167421,13.6929629835625,1.26787037037037,0.264010045363804,0.110841456430298,0.531414483033801,9.65574937384912,0.0,0.480937736205593,0.0,-0.361388832289706,9.65574937384912,0.0,0.152922453703703,0.6,3.76999999999999,9.93209341143865,13.5373982979566,5.46259575592889
9,Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,7.04095860767891,34.1117722005128,1.04435414037822,0.0,19.5198903728413,4.80285926194084,6.10009361878247,-0.0715840123574145,14.0115217470827,-0.257532596371881,0.28320836825027,0.187353485430893,0.545399822539974,9.62584968249109,0.0,0.498954317838246,0.0,-0.361669816349034,9.62584968249109,0.0,-0.0252310484378937,0.61111,3.55,9.89404069035021,19.1726406825873,5.19977870828407
